ID;a0;a1;a2;a3;v;e;f
0;1;7;93;-9999;1;0;0
1;0;2;92;-9999;2;0;0
2;3;1;103;-9999;2;1;0
3;2;4;102;-9999;3;1;0
4;5;3;9;-9999;3;2;0
5;4;6;8;-9999;4;2;0
6;7;5;4515;-9999;4;3;0
7;6;0;4514;-9999;1;3;0
8;9;15;5;-9999;4;2;1
9;8;10;4;-9999;3;2;1
10;11;9;111;-9999;3;4;1
11;10;12;110;-9999;5;4;1
12;13;11;17;-9999;5;5;1
13;12;14;16;-9999;6;5;1
14;15;13;4523;-9999;6;6;1
15;14;8;4522;-9999;4;6;1
16;17;23;13;-9999;6;5;2
17;16;18;12;-9999;5;5;2
18;19;17;119;-9999;5;7;2
19;18;20;118;-9999;7;7;2
20;21;19;25;-9999;7;8;2
21;20;22;24;-9999;8;8;2
22;23;21;4531;-9999;8;9;2
23;22;16;4530;-9999;6;9;2
24;25;31;21;-9999;8;8;3
25;24;26;20;-9999;7;8;3
26;27;25;127;-9999;7;10;3
27;26;28;126;-9999;9;10;3
28;29;27;33;-9999;9;11;3
29;28;30;32;-9999;10;11;3
30;31;29;4539;-9999;10;12;3
31;30;24;4538;-9999;8;12;3
32;33;39;29;-9999;10;11;4
33;32;34;28;-9999;9;11;4
34;35;33;135;-9999;9;13;4
35;34;36;134;-9999;11;13;4
36;37;35;41;-9999;11;14;4
37;36;38;40;-9999;12;14;4
38;39;37;4547;-9999;12;15;4
39;38;32;4546;-9999;10;15;4
40;41;47;37;-9999;12;14;5
41;40;42;36;-9999;11;14;5
42;43;41;143;-9999;11;16;5
43;42;44;142;-9999;13;16;5
44;45;43;49;-9999;13;17;5
45;44;46;48;-9999;14;17;5
46;47;45;4555;-9999;14;18;5
47;46;40;4554;-9999;12;18;5
48;49;55;45;-9999;14;17;6
49;48;50;44;-9999;13;17;6
50;51;49;151;-9999;13;19;6
51;50;52;150;-9999;15;19;6
52;53;51;57;-9999;15;20;6
53;52;54;56;-9999;16;20;6
54;55;53;4563;-9999;16;21;6
55;54;48;4562;-9999;14;21;6
56;57;63;53;-9999;16;20;7
