ID;dart
0;92;
1;102;
2;8;
3;4514;
4;110;
5;16;
6;4522;
7;118;
8;24;
9;4530;
10;126;
11;32;
12;4538;
13;134;
14;40;
15;4546;
16;142;
17;48;
18;4554;
19;150;
20;56;
21;4562;
22;158;
23;64;
24;4570;
25;166;
26;72;
27;4578;
28;174;
29;80;
30;4586;
31;182;
32;88;
33;4594;
34;190;
35;4602;
36;188;
37;198;
38;104;
39;206;
40;112;
41;214;
42;120;
43;222;
44;128;
45;230;
46;136;
47;238;
48;144;
49;246;
50;152;
51;254;
52;160;
53;262;
54;168;
55;270;
56;176;
57;278;
58;184;
59;286;
60;284;
61;294;
62;200;
63;302;
64;208;
65;310;
66;216;
67;318;
68;224;
69;326;
70;232;
71;334;
72;240;
73;342;
74;248;
75;350;
76;256;
77;358;
78;264;
79;366;
80;272;
81;374;
82;280;
83;382;
84;380;
85;390;
86;296;
87;398;
88;304;
89;406;
90;312;
91;414;
92;320;
93;422;
94;328;
95;430;
96;336;
97;438;
98;344;
99;446;
100;352;
101;454;
102;360;
103;462;
104;368;
105;470;
106;376;
107;478;
108;476;
109;486;
110;392;
111;494;
112;400;
113;502;
114;408;
115;510;
116;416;
117;518;
118;424;
119;526;
120;432;
121;534;
122;440;
123;542;
124;448;
125;550;
126;456;
127;558;
128;464;
129;566;
130;472;
131;574;
132;572;
133;582;
134;488;
135;590;
136;496;
137;598;
138;504;
139;606;
140;512;
141;614;
142;520;
143;622;
144;528;
145;630;
146;536;
147;638;
148;544;
149;646;
150;552;
151;654;
152;560;
153;662;
154;568;
155;670;
156;668;
157;678;
158;584;
159;686;
160;592;
161;694;
162;600;
163;702;
164;608;
165;710;
166;616;
167;718;
168;624;
169;726;
170;632;
171;734;
172;640;
173;742;
174;648;
175;750;
176;656;
177;758;
178;664;
179;766;
180;764;
181;774;
182;680;
183;782;
184;688;
185;790;
186;696;
187;798;
188;704;
189;806;
190;712;
191;814;
192;720;
193;822;
194;728;
195;830;
196;736;
197;838;
198;744;
199;846;
200;752;
