ID;dart;x;y;z
0;-9999;0;0;0;
1;4604;1.25;0;0;
2;190;1.23931;0;-0.163158;
3;111;1.2061;0.125;-0.158786;
4;4522;1.21651;0.125;0;
5;119;1.11538;0.216506;-0.146842;
6;4530;1.125;0.216506;0;
7;127;0.991445;0.25;-0.130526;
8;4538;1;0.25;0;
9;135;0.867514;0.216506;-0.11421;
10;4546;0.875;0.216506;0;
11;143;0.776791;0.125;-0.102266;
12;4554;0.783494;0.125;0;
13;151;0.743584;0;-0.097895;
14;4562;0.75;0;0;
15;159;0.776791;-0.125;-0.102266;
16;4570;0.783494;-0.125;-0;
17;167;0.867514;-0.216506;-0.11421;
18;4578;0.875;-0.216506;-0;
19;175;0.991445;-0.25;-0.130526;
20;4586;1;-0.25;-0;
21;183;1.11538;-0.216506;-0.146842;
22;4594;1.125;-0.216506;-0;
23;191;1.2061;-0.125;-0.158786;
24;4602;1.21651;-0.125;-0;
25;286;1.20741;0;-0.323524;
26;207;1.17506;0.125;-0.314855;
27;215;1.08667;0.216506;-0.291171;
28;223;0.965926;0.25;-0.258819;
29;231;0.845185;0.216506;-0.226467;
30;239;0.756797;0.125;-0.202783;
31;247;0.724444;0;-0.194114;
32;255;0.756797;-0.125;-0.202783;
33;263;0.845185;-0.216506;-0.226467;
34;271;0.965926;-0.25;-0.258819;
35;279;1.08667;-0.216506;-0.291171;
36;287;1.17506;-0.125;-0.314855;
37;382;1.15485;0;-0.478354;
38;303;1.1239;0.125;-0.465537;
39;311;1.03936;0.216506;-0.430519;
40;319;0.92388;0.25;-0.382683;
41;327;0.808395;0.216506;-0.334848;
42;335;0.723854;0.125;-0.29983;
43;343;0.69291;0;-0.287013;
44;351;0.723854;-0.125;-0.29983;
45;359;0.808395;-0.216506;-0.334848;
46;367;0.92388;-0.25;-0.382683;
47;375;1.03936;-0.216506;-0.430519;
48;383;1.1239;-0.125;-0.465537;
49;478;1.08253;0;-0.625;
50;399;1.05352;0.125;-0.608253;
51;407;0.974279;0.216506;-0.5625;
52;415;0.866025;0.25;-0.5;
53;423;0.757772;0.216506;-0.4375;
54;431;0.678525;0.125;-0.391747;
55;439;0.649519;0;-0.375;
56;447;0.678525;-0.125;-0.391747;
57;455;0.757772;-0.216506;-0.4375;
58;463;0.866025;-0.25;-0.5;
59;471;0.974279;-0.216506;-0.5625;
60;479;1.05352;-0.125;-0.608253;
61;574;0.991692;0;-0.760952;
62;495;0.965119;0.125;-0.740562;
63;503;0.892523;0.216506;-0.684856;
64;511;0.793353;0.25;-0.608761;
65;519;0.694184;0.216506;-0.532666;
66;527;0.621587;0.125;-0.476961;
67;535;0.595015;0;-0.456571;
68;543;0.621587;-0.125;-0.476961;
69;551;0.694184;-0.216506;-0.532666;
70;559;0.793353;-0.25;-0.608761;
71;567;0.892523;-0.216506;-0.684856;
72;575;0.965119;-0.125;-0.740562;
73;670;0.883883;0;-0.883884;
74;591;0.8602;0.125;-0.8602;
75;599;0.795495;0.216506;-0.795495;
76;607;0.707107;0.25;-0.707107;
77;615;0.618718;0.216506;-0.618719;
78;623;0.554014;0.125;-0.554014;
79;631;0.53033;0;-0.53033;
80;639;0.554014;-0.125;-0.554014;
81;647;0.618718;-0.216506;-0.618719;
82;655;0.707107;-0.25;-0.707107;
83;663;0.795495;-0.216506;-0.795495;
84;671;0.8602;-0.125;-0.8602;
85;766;0.760952;0;-0.991691;
86;687;0.740562;0.125;-0.965119;
87;695;0.684857;0.216506;-0.892522;
88;703;0.608762;0.25;-0.793353;
89;711;0.532666;0.216506;-0.694184;
90;719;0.476961;0.125;-0.621587;
91;727;0.456571;0;-0.595015;
92;735;0.476961;-0.125;-0.621587;
93;743;0.532666;-0.216506;-0.694184;
94;751;0.608762;-0.25;-0.793353;
95;759;0.684857;-0.216506;-0.892522;
96;767;0.740562;-0.125;-0.965119;
97;862;0.625;0;-1.08253;
98;783;0.608253;0.125;-1.05352;
